date,open,high,low,close,volume,tic,day,macd,rsi,cci,dx,atr
2025-05-12,53.51,54.15,53.51,54.06,5868031,vnm,0,-0.2908958369864436,54.55613463960541,149.68202264619242,13.462906299214936,1.1780784485139666
2025-05-13,54.34,54.43,53.78,53.97,4359100,vnm,1,-0.189441351263973,53.974601486439916,138.41878560511324,20.98728364290549,1.1403585593343974
2025-05-14,54.45,54.45,53.59,53.68,5045042,vnm,2,-0.13092924591143174,52.04935469743933,103.70370370370239,13.275618222072577,1.120332947953369
2025-05-15,53.68,54.45,53.68,54.26,4097846,vnm,3,-0.03732655088124659,55.470411784756074,118.8642199063594,13.275618222072568,1.0953091659567
2025-05-16,54.26,54.26,53.68,53.68,3204963,vnm,4,-0.009833538525626295,51.51252483226934,74.64040025015608,13.275618222072575,1.0585013683883642
2025-05-19,53.68,54.45,53.49,53.49,2803390,vnm,0,-0.0033380611697921836,50.24770542506414,55.71254142682784,21.009978608928286,1.0514655563606239
2025-05-20,53.59,53.78,53.3,53.4,3228264,vnm,1,-0.0053904585557376095,49.626121732315184,6.710755664924718,9.719439512903756,1.0106465880491509
2025-05-21,53.49,53.49,52.92,52.92,4473493,vnm,2,-0.04522763076914771,46.33406583581624,-47.48586730140037,9.719234254460165,0.9791718317599258
2025-05-22,52.92,53.11,52.54,52.54,2674376,vnm,3,-0.10623706619825413,43.853838338939404,-92.6441905823356,25.0423452531778,0.9499452723485026
2025-05-23,52.73,53.01,52.63,52.82,1671303,vnm,4,-0.13048962026723387,46.14156409482199,-83.03512259774679,25.042345253177817,0.9156634671807523
2025-05-26,52.92,53.3,52.54,53.2,2735753,vnm,0,-0.11769045755470131,49.16865681914609,-63.83247448721812,6.650517337607907,0.9045446480964128
2025-05-27,53.4,53.49,52.82,52.92,3691308,vnm,1,-0.1286576040613312,47.06938058781105,-59.721781445045316,4.021471918415393,0.8877914589466691
2025-05-28,53.2,53.2,52.63,52.73,3908641,vnm,2,-0.15094060939775034,45.64522687275218,-89.9342983266606,6.745645294189308,0.865092069021907
2025-05-29,53.01,53.01,52.63,52.63,2185775,vnm,3,-0.17465589153428596,44.875635695832095,-87.45519713261567,6.745645294189316,0.8304426355203419
